Probe	Chromosome	Start	End	Strand
Rims1	1	22276332	22911673	-
4933415F23Rik	1	23107312	23109092	-
Gm6420	1	23262826	23263245	-
Ogfrl1	1	23373263	23390014	-
B3gat2	1	23768592	23855997	+
Smap1	1	23851685	23929156	-
1110058L19Rik	1	24002778	24012495	-
Fam135a	1	24017597	24107180	-
Col9a1	1	24184449	24259577	+
Col19a1	1	24268729	24594311	-
Gm10222	1	24619243	24619539	-
Gm10925	1	24620814	24621627	-
Lmbrd1	1	24685383	24823144	+
Bai3	1	25124321	25886552	-
Gm9884	1	25887502	25888723	+
4931408C20Rik	1	26738646	26744305	-
Gm11161	1	27099346	27286771	+
Gm597	1	28832989	28837097	-
Gm17684	1	28912033	28912718	+
Gm9898	1	30775399	30776806	-
Phf3	1	30859187	30930539	-
Ptp4a1	1	30997148	31006615	-
Gm5698	1	31033795	31035810	-
Gm5699	1	31054712	31056750	-
4931428L18Rik	1	31197923	31279506	-
Lgsn	1	31233251	31261501	+
4930521A18Rik	1	31279684	31281132	+
Khdrbs2	1	32229651	32714583	+
Gm9839	1	32576408	32577844	-
Gm5415	1	32600391	32604138	-
Prim2	1	33510656	33726631	-
1700001G17Rik	1	33726688	33727557	+
Rab23	1	33776727	33799409	+
Bag2	1	33802329	33814639	-
Zfp451	1	33817317	33871440	-
Bend6	1	33908897	33964661	-
Dst	1	33965125	34365495	+
Gm16750	1	34222701	34235118	-
Gm11158	1	34428991	34460294	-
Ccdc115	1	34493516	34496517	-
Imp4	1	34496696	34502581	+
Ptpn18	1	34516591	34532499	+
Prss39	1	34555275	34559907	+
Cfc1	1	34592493	34601156	+
Prss40	1	34600820	34617788	-
1700101I19Rik	1	34636069	34636458	-
Fam123c	1	34636538	34647783	+
C230030N03Rik	1	34735033	34781146	+
Arhgef4	1	34778769	34870154	+
Fam168b	1	34870064	34899910	-
Plekhb2	1	34906804	34936425	+
Hs6st1	1	36125245	36163291	+
Uggt1	1	36198375	36301150	-
Neurl3	1	36321447	36330270	-
Arid5a	1	36364578	36380874	+
4632411B12Rik	1	36392575	36426026	-
Fer1l5	1	36473733	36478955	+
Lman2l	1	36478910	36502116	-
Cnnm4	1	36528442	36565621	+
Cnnm3	1	36568712	36585082	+
Ankrd23	1	36587379	36592584	-
Ankrd39	1	36595018	36604046	-
Sema4c	1	36605487	36615194	-
D430040D24Rik	1	36615204	36622458	+
Fam178b	1	36619539	36740028	-
Cox5b	1	36748332	36750230	+
Actr1b	1	36756047	36771267	-
Zap70	1	36818695	36839663	+
Tmem131	1	36849036	36996372	-
Rpl12-ps1	1	37014738	37015362	-
Vwa3b	1	37083441	37133841	+
Vwa3b	1	37210689	37244450	+
Cnga3	1	37275181	37320229	+
Inpp4a	1	37356710	37467581	+
4930439A04Rik	1	37386512	37391017	-
6330578E17Rik	1	37473929	37486948	-
Unc50	1	37487015	37495969	+
Mgat4a	1	37496185	37597861	-
2010300C02Rik	1	37668522	37776930	-
4930556I23Rik	1	37671104	37672217	+
Tsga10	1	37811417	37922143	-
Gm17715	1	37922144	37928233	+
Lipt1	1	37928583	37934232	+
Mitd1	1	37931646	37947256	-
Mrpl30	1	37947322	37955380	+
Lyg2	1	37962766	37973338	-
Gm15457	1	37990441	38010981	+
Lyg1	1	38003581	38014604	-
Txndc9	1	38040712	38054191	-
Eif5b	1	38054855	38112424	+
Rev1	1	38109632	38186507	-
Aff3	1	38234171	38721800	-
Gm16150	1	38292265	38303511	+
Gm16151	1	38364747	38368775	+
Gm16152	1	38441794	38450819	+
Lonrf2	1	38850514	38892935	-
Chst10	1	38920722	38955005	-
Nms	1	38995994	39007123	+
Pdcl3	1	39044659	39054081	+
Npas2	1	39250576	39420079	+
Rpl31	1	39424696	39428753	+
Tbc1d8	1	39428344	39535592	-
D1Bwg0212e	1	39591837	39603726	+
Gm15832	1	39604415	39608847	-
Rnf149	1	39608141	39634250	-
Creg2	1	39675251	39708027	-
D930019O06Rik	1	39707021	39714235	+
Rfx8	1	39722151	39777842	-
Gm3646	1	39861028	39861189	-
Map4k4	1	39957758	40083155	+
Gm16894	1	40133073	40142698	-
Il1r2	1	40141613	40182064	+
Il1r1	1	40281925	40373043	+
Il1rl2	1	40381472	40422316	+
Il1rl1	1	40486415	40522260	+
Il18r1	1	40522397	40557699	+
Il18rap	1	40572207	40608550	+
Slc9a4	1	40637072	40687576	+
Slc9a2	1	40738557	40825730	+
Mfsd9	1	40828883	40847532	-
Tmem182	1	40862446	40912112	+
Gm9915	1	42286571	42287953	+
2610017I09Rik	1	42705223	42723757	-
Pou3f3	1	42753991	42757052	+
Mrps9	1	42908078	42962527	+
Gpr45	1	43009719	43011992	+
Gpr45	1	43088905	43090450	+
Tgfbrap1	1	43104114	43155467	-
8430432A02Rik	1	43149433	43150680	+
AI597479	1	43155555	43172792	+
Fhl2	1	43179919	43220806	-
Nck2	1	43502596	43627360	+
1500015O10Rik	1	43787447	43799423	+
Uxs1	1	43803811	43884645	-
Tpp2	1	43990847	44059844	+
A530098C11Rik	1	44066253	44076879	-
Gm8251	1	44112797	44118781	-
1700029F09Rik	1	44143458	44159286	-
Kdelc1	1	44148308	44175653	-
Bivm	1	44175802	44201615	+
Ercc5	1	44204589	44238105	+
4832428D23Rik	1	44260915	44275806	-
Gulp1	1	44608356	44853678	+
Col3a1	1	45368383	45406551	+
Col5a2	1	45431166	45560127	-
Wdr75	1	45852011	45880464	+
Slc40a1	1	45964915	45982439	-
Rpl23a-ps1	1	46038393	46038860	+
Gm3852	1	46068602	46068865	-
Gm4776	1	46076917	46087314	-
Dnahc7b	1	46123583	46430395	+
Dnahc7c	1	46665806	46682956	+
Slc39a10	1	46864389	46910891	-
C230029F24Rik	1	49301460	49395090	+
Tmeff2	1	50957491	51244114	+
Sdpr	1	51345970	51359803	+
Obfc2a	1	51526342	51535243	-
Myo1b	1	51806609	51972915	-
Gm8420	1	51997494	51998105	-
Stat4	1	52043992	52164032	+
Gm3940	1	52147479	52147910	-
Stat1	1	52176282	52218704	+
Gls	1	52220292	52290076	-
Nab1	1	52514138	52557523	-
Tmem194b	1	52687549	52708763	+
Mfsd6	1	52713130	52784306	-
Inpp1	1	52846257	52874532	-
Hibch	1	52901857	52977830	+
1700019D03Rik	1	52979168	53020104	-
Mstn	1	53118507	53124923	+
1700019A02Rik	1	53215421	53244461	-
Pms1	1	53246031	53353862	-
Ormdl1	1	53353939	53367153	+
Osgepl1	1	53370468	53383187	+
Asnsd1	1	53382351	53409596	-
Dnahc7a	1	53604023	53622541	-
Stk17b	1	53812350	53842068	-
Hecw2	1	53863726	54252012	-
Ccdc150	1	54307527	54425571	+
Gtf3c3	1	54454425	54495815	-
Pgap1	1	54529844	54532810	-
Pgap1	1	54537550	54614526	-
Ankrd44	1	54702184	54983231	-
Sf3b1	1	55042013	55084322	-
Coq10b	1	55109614	55129545	+
Hspd1	1	55134679	55145087	-
Hspe1	1	55144976	55148151	+
Mob4	1	55188075	55211743	+
Rftn2	1	55227003	55283626	-
Gm10561	1	55283095	55292466	+
Mars2	1	55294021	55296902	+
Boll	1	55305502	55420313	-
Plcl1	1	55463232	55808646	+
Hsfy2	1	56692897	56694295	-
Satb2	1	56850830	57029346	-
9130024F11Rik	1	57028313	57099359	+
4930558J18Rik	1	57416066	57434348	-
1700066M21Rik	1	57434464	57442267	+
1110034B05Rik	1	57445081	57463945	-
9430016H08Rik	1	57463172	57474797	+
Spats2l	1	57831006	58005241	+
Gm17234	1	57966679	57973955	-
Kctd18	1	58011945	58075800	-
Sgol2	1	58052815	58082743	+
Aox1	1	58086775	58163257	+
Aox3	1	58169974	58257542	+
Aox4	1	58267241	58325441	+
Gm15759	1	58310961	58372500	-
Aox3l1	1	58335170	58436108	+
Bzw1	1	58449980	58463392	+
Clk1	1	58467033	58480910	-
Ppil3	1	58487838	58502330	-
Nif3l1	1	58501995	58538660	+
Orc2	1	58519615	58561953	-
Gm15834	1	58561992	58580074	+
Fam126b	1	58579650	58643167	-
Ndufb3	1	58643228	58652808	+
Gm10068	1	58703452	58705161	+
Als2cr12	1	58714961	58752833	-
Cflar	1	58768352	58815728	+
Casp8	1	58852218	58904347	+
Trak2	1	58957293	59030274	-
Stradb	1	59030366	59052559	+
Als2cr11	1	59053967	59060287	-
Gm17570	1	59060795	59062069	-
Als2cr11	1	59107350	59151744	-
Als2cr4	1	59157438	59177203	-
Mpp4	1	59177780	59220233	-
Als2	1	59219770	59294075	-
Cdk15	1	59313750	59409837	+
Fzd7	1	59538991	59543791	+
Gm17453	1	59545324	59549449	-
Gm973	1	59573108	59691352	+
Sumo1	1	59696278	59727678	-
Nop58	1	59741853	59768968	+
Bmpr2	1	59821481	59927703	+
Fam117b	1	59969850	60042190	+
Ica1l	1	60045914	60099931	-
Wdr12	1	60133712	60155489	-
Carf	1	60155091	60207876	+
Nbeal1	1	60237443	60395172	+
Cyp20a1	1	60400167	60444904	+
Abi2	1	60466539	60537999	+
Raph1	1	60540080	60623948	-
Cd28	1	60773644	60830203	+
Gm11579	1	60833509	60838678	-
2310016D23Rik	1	60835687	60860634	+
Ctla4	1	60943844	60972676	+
Icos	1	61034771	61057164	+
Gm11587	1	61363480	61364590	+
9530026F06Rik	1	61435276	61452748	+
Gm11588	1	61496945	61526319	+
4930587A21Rik	1	61663517	61667723	-
Pard3b	1	61685398	62688858	+
4930448K12Rik	1	61813989	61898114	-
Gm12747	1	62177769	62182683	-
Gm11610	1	62503299	62545835	-
Nrp2	1	62749859	62865269	+
Ino80d	1	63004992	63161241	-
Gm11602	1	63161045	63204864	+
Ndufs1	1	63190170	63223396	-
Eef1b2	1	63223399	63227060	+
Gpr1	1	63229265	63261117	-
Gm11607	1	63246887	63254188	+
Gm11608	1	63313422	63319694	-
Zdbf2	1	63319839	63361150	+
Adam23	1	63492465	63643089	+
Dytn	1	63669425	63733501	-
Mdh1b	1	63745393	63776892	-
Fastkd2	1	63777188	63801229	+
4933402D24Rik	1	63801481	63815841	-
Gm13749	1	64011301	64015573	+
Klf7	1	64076021	64168856	-
Gm17427	1	64076037	64079501	+
Gm13748	1	64125228	64137356	+
Creb1	1	64579378	64651121	+
Mettl21a	1	64653047	64663816	-
2810408I11Rik	1	64726445	64737233	-
Ccnyl1	1	64737029	64772218	+
Fzd5	1	64777134	64784324	-
Plekhm3	1	64832557	65003398	-
Akr1cl	1	65059263	65079333	-
Cryge	1	65095128	65097723	-
Crygd	1	65108446	65110026	-
Crygc	1	65118099	65120263	-
Crygb	1	65126804	65128862	-
Cryga	1	65146963	65149947	-
D630023F18Rik	1	65147193	65169788	-
Idh1	1	65205190	65233053	-
Pikfyve	1	65233324	65320586	+
Pth2r	1	65328630	65435818	+
Crygf	1	65973096	65974881	+
Mtap2	1	66221847	66489157	+
Gm10558	1	66368850	66375370	-
Unc80	1	66514941	66746440	+
Rpe	1	66747405	66766379	+
1110028C15Rik	1	66765817	66864169	-
Acadl	1	66877413	66909851	-
Myl1	1	66970869	66991978	-
Lancl1	1	67047091	67085446	-
Cps1	1	67169600	67277833	+
Gm15668	1	67295774	67370183	+
Gm15669	1	67839055	67851898	+
Gm15671	1	68051660	68072470	+
Erbb4	1	68078760	69154633	-
Gm16076	1	69138487	69153314	-
Ikzf2	1	69577788	69732534	-
Spag16	1	69873562	70771706	+
Vwc2l	1	70772289	70931971	+
Bard1	1	71074072	71149720	-
Abca12	1	71289664	71461484	-
Atic	1	71603724	71626205	+
Fn1	1	71632094	71699774	-
Apol7d	1	71699411	71709417	+
Gm5528	1	72050862	72051344	+
Mreg	1	72205807	72258881	-
D230017M19Rik	1	72283039	72321443	+
Pecr	1	72305741	72330888	-
Tmem169	1	72330943	72349678	+
Xrcc5	1	72353995	72441526	+
Mar-04	1	72473686	72583504	-
Smarcal1	1	72629825	72679708	+
Ankar	1	72689554	72747138	-
Rpl37a	1	72757834	72760383	+
Igfbp2	1	72871077	72899048	+
Igfbp5	1	72904506	72921458	-
Tnp1	1	73061657	73062473	-
Tns1	1	73956805	74171021	-
Rufy4	1	74172115	74194797	+
Cxcr2	1	74200563	74207812	+
Cxcr1	1	74238359	74241205	-
Arpc2	1	74283071	74314783	+
Gpbar1	1	74325124	74326198	+
Aamp	1	74326421	74331254	-
Pnkd	1	74331504	74400268	+
Tmbim1	1	74334821	74352196	-
Gm216	1	74408682	74415895	+
Slc11a1	1	74421777	74432636	+
Ctdsp1	1	74438083	74443859	+
Vil1	1	74455950	74482133	+
Usp37	1	74482084	74590860	-
Rqcd1	1	74552632	74577418	+
Plcd4	1	74589462	74614368	+
Zfp142	1	74611701	74634820	-
Bcs1l	1	74634863	74639017	+
Rnf25	1	74640322	74647971	-
Stk36	1	74648019	74683468	+
Ttll4	1	74708319	74748406	+
Cyp27a1	1	74760148	74784464	+
Prkag3	1	74786073	74795795	-
Wnt6	1	74818466	74831893	+
Wnt10a	1	74838090	74850753	+
Gm16582	1	74897469	74926527	+
Cdk5r2	1	74901508	74904005	+
Fev	1	74928083	74931993	-
Cryba2	1	74936508	74939717	-
Ccdc108	1	74948645	74982173	-
Gm15841	1	74948945	74954227	+
Ihh	1	74991891	74998246	-
Nhej1	1	75013713	75093213	-
Slc23a3	1	75122117	75130464	-
1810031K17Rik	1	75131128	75139271	-
Fam134a	1	75139360	75144483	+
Zfand2b	1	75165220	75168203	+
Abcb6	1	75168291	75176966	-
Atg9a	1	75177440	75188497	-
Ankzf1	1	75188709	75195962	+
Glb1l	1	75194818	75207353	-
Stk16	1	75207413	75212181	+
Tuba4a	1	75211549	75215828	-
Dnajb2	1	75233040	75241379	+
Ptprn	1	75243616	75260783	-
Resp18	1	75268774	75274990	-
Dnpep	1	75304471	75314212	-
Des	1	75356904	75365154	+
Gm15179	1	75364787	75371587	-
Speg	1	75371872	75428895	+
Gm15178	1	75388706	75392938	-
Gmppa	1	75432505	75439754	+
Accn4	1	75447011	75470918	+
Chpf	1	75471144	75476046	-
Obsl1	1	75475885	75503027	-
Tmem198	1	75476107	75482280	+
Inha	1	75503652	75506941	+
Stk11ip	1	75518104	75533910	+
Slc4a3	1	75542841	75558747	+
Epha4	1	77363760	77511663	-
Pax3	1	78097842	78193709	-
Sgpp2	1	78306921	78416861	+
Farsb	1	78414533	78485434	-
BC035947	1	78494381	78508538	-
Mogat1	1	78507566	78534748	+
Acsl3	1	78654400	78703562	+
Utp14b	1	78654613	78664163	+
Kcne4	1	78813502	78816599	+
Gm5830	1	78964212	78964654	-
Scg2	1	79431244	79436665	-
Ap1s3	1	79603451	79668547	-
Wdfy1	1	79698837	79772718	-
Mrpl44	1	79772593	79778020	+
Serpine2	1	79790772	79855271	-
Fam124b	1	80195281	80215048	-
Cul3	1	80261498	80337055	-
Gm6189	1	80379679	80381763	-
Dock10	1	80497648	80755128	-
9430031J16Rik	1	81073525	81338339	+
Irs1	1	82229676	82287991	-
Gm9747	1	82229687	82232508	+
Rhbdd1	1	82313027	82441941	+
Col4a4	1	82447298	82583424	-
Col4a3	1	82583496	82718634	+
C430014B12Rik	1	82688503	82721692	-
Mff	1	82721465	82748969	+
Tm4sf20	1	82753224	82765036	-
Agfg1	1	82836058	82892850	+
Slc19a3	1	83009098	83035023	-
Ccl20	1	83113341	83115742	+
Wdr69	1	83156327	83207149	+
Sphkap	1	83250714	83404775	-
Pid1	1	84032868	84281220	-
Dner	1	84366416	84692796	-
Trip12	1	84717764	84835879	-
Fbxo36	1	84836416	84897062	+
Slc16a14	1	84902473	84931700	-
C130026I21Rik	1	84989265	85267141	-
A530032D15Rik	1	85079644	85106428	-
A530040E14Rik	1	85102521	85110610	+
Gm7609	1	85196188	85210361	+
Gm16028	1	85243426	85252040	+
Gm2619	1	85305234	85323881	-
Gm16025	1	85323304	85339190	+
Gm16092	1	87407708	87423736	-
Gm7592	1	87423175	87465775	+
Sp110	1	87473474	87495392	-
Gm16094	1	87495861	87496414	+
Sp140	1	87496953	87541612	+
Gm10552	1	87500660	87508471	-
Gm17017	1	87537797	87547160	-
Sp100	1	87546563	87606573	+
A630001G21Rik	1	87613658	87675218	-
Cab39	1	87690016	87748151	+
Itm2c	1	87790856	87805250	+
4933407L21Rik	1	87825058	87837199	+
Gpr55	1	87836112	87857630	-
Spata3	1	87913391	87926533	+
2810459M11Rik	1	87942438	87952031	+
Psmd1	1	87960962	88059363	+
Htr2b	1	87995601	88008545	-
Armc9	1	88051355	88174859	+
Gm16341	1	88172084	88197950	-
B3gnt7	1	88199796	88203878	+
Gm5258	1	88219842	88220168	+
Ncl	1	88241294	88256030	-
C130036L24Rik	1	88256149	88270366	+
Nmur1	1	88282817	88284737	-
Rpl30-ps6	1	88370234	88370581	+
Ptma	1	88423311	88427273	+
Pde6d	1	88439569	88479204	-
Cops7b	1	88479479	88503553	+
Nppc	1	88562866	88567147	-
Dis3l2	1	88600379	88946672	+
Alppl2	1	88983265	88986503	-
Alpi	1	88994579	88998181	-
Akp3	1	89021583	89024487	+
Ecel1	1	89044230	89053096	-
1700027L20Rik	1	89083240	89084978	+
Chrnd	1	89087227	89096644	+
Chrng	1	89102386	89108410	+
Eif4e2	1	89110489	89137063	+
Efhd1	1	89160938	89207414	+
Gm16535	1	89161056	89161749	-
Gigyf2	1	89223573	89347371	+
Kcnj13	1	89282938	89291304	-
3110079O15Rik	1	89366839	89372034	+
Ngef	1	89373409	89470445	-
Neu2	1	89406464	89494420	+
Inpp5d	1	89516887	89617082	+
Atg16l1	1	89652445	89689003	+
5830472F04Rik	1	89693042	89693392	+
Sag	1	89700255	89741733	+
Dgkd	1	89749862	89841064	+
Usp40	1	89841696	89905126	-
Ugt1a10	1	89951963	90115579	+
RP23-324B17.1	1	89951968	90115159	-
Ugt1a9	1	89967375	90115572	+
Ugt1a8	1	89984388	90115579	+
Ugt1a7c	1	89991637	90116577	+
Ugt1a6b	1	89999827	90115578	+
Ugt1a6a	1	89999827	90116577	+
Ugt1a5	1	90062587	90115572	+
Ugt1a2	1	90097176	90115572	+
Dnajb3	1	90101307	90102323	-
Ugt1a1	1	90108534	90115572	+
Heatr7b1	1	90123561	90158864	+
Hjurp	1	90155690	90174208	-
Trpm8	1	90174236	90285868	+
4930453O03Rik	1	90244064	90249505	-
Spp2	1	90303536	90323013	+
Glrp1	1	90397698	90406461	-
Arl4c	1	90569700	90598796	-
Sh3bp4	1	90966990	91051643	+
Agap1	1	91351381	91791857	+
Gbx2	1	91824537	91829865	-
D130058E05Rik	1	91826809	91828437	+
Asb18	1	91849166	91911241	-
Iqca	1	91938707	92049976	-
Cxcr7	1	92100555	92113326	+
Cops8	1	92500000	92509916	+
Gm9991	1	92571736	92576368	+
Col6a3	1	92663435	92740529	-
Mlph	1	92811662	92847719	+
Prlh	1	92849685	92850589	+
Rab17	1	92854710	92866238	-
Lrrfip1	1	92895304	93025521	+
Rbm44	1	93041680	93067372	+
Ramp1	1	93076399	93121773	+
Ube2f	1	93146888	93185454	+
Gm17560	1	93193780	93200982	-
Scly	1	93194915	93217652	+
Gm17090	1	93201669	93217678	-
Espnl	1	93218652	93244880	+
Klhl30	1	93247593	93258993	+
Fam132b	1	93263007	93270793	+
Ilkap	1	93271984	93295360	-
Hes6	1	93308060	93310615	-
Per2	1	93312561	93355907	-
Traf3ip1	1	93391245	93425880	+
Asb1	1	93437142	93456167	+
Twist2	1	93698038	93744605	+
Hdac4	1	93825362	93827753	-
Hdac4	1	93829334	94044970	-
Gm17418	1	93885628	93889205	+
Ndufa10	1	94335587	94370437	-
Olfr1416	1	94376258	94377196	-
Olfr1415	1	94387395	94388330	-
Olfr1414	1	94407625	94415092	-
Olfr1413	1	94469702	94470783	+
Olfr1412	1	94484909	94485874	+
Olfr1411	1	94493098	94494069	+
Olfr1410	1	94504416	94505424	+
Olfr12	1	94516458	94517578	+
Myeov2	1	94533722	94538562	-
Otos	1	94540795	94545418	-
Gpc1	1	94728222	94756775	+
Ankmy1	1	94766706	94799483	-
Dusp28	1	94803566	94805197	+
5033417F24Rik	1	94804957	94807341	-
Rnpepl1	1	94807982	94817415	+
Capn10	1	94830953	94844518	+
Gpr35	1	94869696	94882968	+
Aqp12	1	94902911	94908846	+
Kif1a	1	94912033	94998442	-
Gm17672	1	95005394	95007262	-
Agxt	1	95031822	95041984	+
2310007B03Rik	1	95047926	95057525	-
E030010N08Rik	1	95112476	95127649	+
Sned1	1	95132418	95197642	+
Mterfd2	1	95195788	95202492	-
Pask	1	95205347	95240059	-
Ppp1r7	1	95239431	95270066	+
Ano7	1	95270473	95300079	+
Hdlbp	1	95302517	95375385	-
Gm17415	1	95318265	95319065	+
Sep-02	1	95375541	95406837	+
Farp2	1	95408656	95518553	+
Stk25	1	95518479	95532299	-
Bok	1	95582271	95592339	+
Thap4	1	95601968	95651415	-
Atg4b	1	95648077	95686372	+
Dtymk	1	95689153	95698511	-
Ing5	1	95700542	95718678	+
D2hgdh	1	95721817	95748925	+
Gal3st2	1	95757921	95773071	+
Gm9994	1	95824364	95839221	+
Gm7889	1	95879623	95882396	+
Gm6086	1	95887086	95908118	+
Neu4	1	95917070	95924903	+
Pdcd1	1	95934884	95949130	-
Gm17386	1	96048774	96049705	+
Fam174a	1	97210205	97231861	+
St8sia4	1	97484261	97564171	-
Slco4c1	1	98715361	98768748	-
Gm5101	1	98768798	98777807	+
Slco6b1	1	98802753	98894154	-
Slco6c1	1	98955615	99024830	-
D1Ertd622e	1	99540480	99558651	-
Ppip5k2	1	99602625	99666988	-
Gin1	1	99666749	99690286	+
Pam	1	99691691	99992223	-
B230216N24Rik	1	99927693	99954257	-
Slco6d1	1	100317701	100413565	+
Cntnap5b	1	101669342	102382519	+
Cdh20	1	106665106	106892058	+
Gm15699	1	106808008	106808910	-
Rnf152	1	107173494	107253287	-
Gm17634	1	107252584	107258201	+
Pign	1	107417716	107555585	-
2310035C23Rik	1	107560438	107651708	+
Tnfrsf11a	1	107677300	107744558	+
Zcchc2	1	107886983	107930651	+
Phlpp1	1	108068329	108290827	+
Bcl2	1	108434755	108610851	-
D630008O14Rik	1	108438520	108471622	+
Kdsr	1	108616987	108656319	-
Vps4b	1	108660648	108693305	-
Serpinb5	1	108757750	108779925	+
Serpinb12	1	108831026	108853657	+
Serpinb13	1	108877561	108897772	+
Serpinb3a	1	108942164	108948914	-
Serpinb3d	1	108974744	108980083	-
Serpinb3b	1	109050517	109174938	-
Serpinb3c	1	109167778	109174948	-
Serpinb11	1	109258506	109277052	+
Gm15391	1	109281777	109283989	-
Serpinb7	1	109296232	109349266	+
Serpinb2	1	109408000	109432055	+
Serpinb8	1	109486583	109505486	+
Gm15389	1	109583585	109590091	+
Cdh7	1	111878904	112036734	+
Cdh19	1	112785772	112873949	-
Dsel	1	113755279	113761486	-
9330185C12Rik	1	115787962	115860711	-
Cntnap5a	1	117581333	118478603	+
Tsn	1	120195094	120207709	-
Mki67ip	1	120218416	120230399	+
Clasp1	1	120285635	120506009	+
2900060B14Rik	1	120355247	120355324	-
Gm11102	1	120373603	120373998	+
Tcfcp2l1	1	120524522	120581744	+
Gli2	1	120730709	120950196	-
Inhbb	1	121312042	121318825	-
Ralb	1	121366882	121401371	-
Epb4.1l5	1	121441610	121545577	-
Ptpn4	1	121554621	121734190	-
Tmem177	1	121804467	121809785	-
Gm101	1	121819918	121893811	-
Sctr	1	121903557	121960105	+
Tmem37	1	121963954	121970651	-
Dbi	1	122009857	122017655	-
3110009E18Rik	1	122017764	122084766	+
Steap3	1	122087334	122169282	-
C1ql2	1	122237159	122239748	+
Marco	1	122371115	122401661	-
En1	1	122498995	122505873	+
B230209K01Rik	1	122983982	123017533	+
Insig2	1	123200930	123229166	-
Ccdc93	1	123327626	123403037	+
Gm15392	1	123385873	123389780	-
Htr5b	1	123406419	123425042	-
Ddx18	1	123450412	123464566	-
Dpp10	1	125228716	125942136	-
Actr3	1	127289483	127332067	-
Slc35f5	1	127457593	127492261	+
Gpr39	1	127573572	127770439	+
Lypd1	1	127764199	127809678	-
Nckap5	1	127810197	128727376	-
Mgat5	1	129101563	129380281	+
Tmem163	1	129383123	129574673	-
Acmsd	1	129625990	129664141	+
Ccnt2	1	129670741	129704638	+
Ysk4	1	129711848	129736867	-
Rab3gap1	1	129765350	129840445	+
Zranb3	1	129850761	129999624	-
R3hdm1	1	129999883	130134312	+
