Gene	Expression
Ccdc115	3.691621
Imp4	4.8773246
Ptpn18	3.3801708
Prss39	-4.484494
Cfc1	0.57486266
Prss40	-2.4992392
1700101I19Rik	-2.808736
Fam123c	-4.55124
C230030N03Rik	-3.8486845
Arhgef4	-1.5832775
Fam168b	4.3399763
Plekhb2	2.3261664
Hs6st1	3.80586
Uggt1	4.294982
Neurl3	-2.3842347
Arid5a	0.005738811
4632411B12Rik	5.839956
Fer1l5	3.1942437
Lman2l	3.3682795
Cnnm4	5.5973973
Cnnm3	4.756988
Ankrd23	1.4033356
Ankrd39	1.3575342
Sema4c	0.66896176
D430040D24Rik	2.9912393
Fam178b	5.313224
Cox5b	5.6229224
Actr1b	4.951503
Zap70	-0.71195483
Tmem131	5.27842
Rpl12-ps1	-3.4891183
Vwa3b	-5.1172853
Vwa3b	-3.6049504
Cnga3	-2.3243632
Inpp4a	2.0692418
4930439A04Rik	-3.9512753
6330578E17Rik	4.049112
Unc50	5.431223
Mgat4a	2.1636486
2010300C02Rik	-0.8991631
4930556I23Rik	-3.330689
Tsga10	2.167643
Gm17715	-5.79433
Lipt1	2.9568758
Mitd1	2.365142
Mrpl30	3.3649018
Lyg2	-5.5267115
Gm15457	-6.163579
Lyg1	-3.8438184
Txndc9	1.6852905
Eif5b	4.795033
Rev1	5.2708316
Aff3	4.008802
Gm16150	-2.8822927
Gm16151	-3.5210779
Gm16152	-5.057053
Lonrf2	4.5406756
Chst10	1.9211566
Nms	-4.019509
Pdcl3	3.0533993
Npas2	0.7585114
Rpl31	6.4936852
Tbc1d8	3.8256578
D1Bwg0212e	4.329743
Gm15832	1.4151741
Rnf149	3.7791464
Creg2	-2.6441004
D930019O06Rik	-2.7182877
Rfx8	0.61917317
Gm3646	-1.5412558
Map4k4	6.065052
Gm16894	-3.922505
Il1r2	-4.4341865
Il1r1	2.899482
Il1rl2	-5.1306643
Il1rl1	-4.2155657
Il18r1	-6.4238987
Il18rap	-6.9225054
Slc9a4	-0.86205184
Slc9a2	-3.8196537
Mfsd9	0.91266316
Tmem182	-4.299438
Gm9915	-4.634991
2610017I09Rik	-1.8307625
Pou3f3	-3.3077333
Mrps9	4.438902
Gpr45	-1.7189965
Gpr45	-3.0587647
Tgfbrap1	3.533601
8430432A02Rik	-1.16488
AI597479	2.6127276
Fhl2	-3.6595047
Nck2	1.6172698
1500015O10Rik	-0.86638635
Uxs1	2.0697927
Tpp2	4.401544
A530098C11Rik	-6.271527
Gm8251	-4.0115757
1700029F09Rik	4.5250344
Kdelc1	2.1342382
Bivm	2.0295143
Ercc5	2.4385438
4832428D23Rik	-6.1530547
Gulp1	-5.923231
Col3a1	1.8669112
Col5a2	-1.8845508
Wdr75	3.7327855
Slc40a1	0.43724293
Rpl23a-ps1	-3.0717707
Gm3852	-2.2458
Gm4776	-6.3896856
Dnahc7b	1.6747354
Dnahc7c	-3.4587936
Slc39a10	2.2074041
C230029F24Rik	-3.2458
Tmeff2	-6.514459
Sdpr	-3.3039591
Obfc2a	4.927974
Myo1b	2.2533622
Gm8420	-3.4587936
Stat4	-5.8207088
Gm3940	-2.9562933
Stat1	2.9425983
Gls	1.6077259
Nab1	1.9941024
Tmem194b	1.2702568
Mfsd6	2.7177248
Inpp1	1.0355195
Hibch	0.99163556
1700019D03Rik	-2.6943405
Mstn	-5.5904994
1700019A02Rik	-2.3417244
Pms1	0.75899863
Ormdl1	1.7087816
Osgepl1	1.6687112
Asnsd1	5.135195
Dnahc7a	-3.3067906
Stk17b	3.0919588
Hecw2	-0.40528348
Ccdc150	2.078903
Gtf3c3	3.4849105
Pgap1	-2.584192
Pgap1	0.5293488
Ankrd44	1.4934928
Sf3b1	5.336332
Coq10b	0.44030157
Hspd1	4.7643347
Hspe1	3.41943
Mob4	1.742762
Rftn2	-1.8139057
Gm10561	-5.1254764
Mars2	2.8152945
Boll	1.9131658
Plcl1	-2.554023
Hsfy2	-4.651586
Satb2	1.8271189
9130024F11Rik	-1.9474498
4930558J18Rik	1.4356141
1700066M21Rik	1.082509
1110034B05Rik	2.2463732
9430016H08Rik	2.320935
Spats2l	-1.3533626
Gm17234	-2.8161156
Kctd18	1.6946552
Sgol2	2.1110466
Aox1	-4.812615
Aox3	-4.2443647
Aox4	-1.0333084
Gm15759	-3.1042979
Aox3l1	-6.422993
Bzw1	5.1855206
Clk1	2.1248684
Ppil3	2.654157
Nif3l1	3.7623444
Orc2	4.5130672
Gm15834	-1.5779742
Fam126b	1.3421276
Ndufb3	2.375058
Gm10068	-4.941187
Als2cr12	-4.8262014
Cflar	-3.25977
Casp8	-1.3187892
Trak2	2.625001
Stradb	4.242632
Als2cr11	0.6615005
Gm17570	-4.5176873
Als2cr11	0.59957623
Als2cr4	2.8498697
Mpp4	1.8102862
Als2	3.8269749
Cdk15	-0.88171744
Fzd7	0.07902995
Gm17453	-6.0099683
Gm973	2.0461133
Sumo1	1.3788707
Nop58	5.3122377
Bmpr2	3.6644237
Fam117b	4.2544613
Ica1l	2.676128
Wdr12	1.7171069
Carf	2.5960894
Nbeal1	1.6443702
Cyp20a1	1.8032149
Abi2	3.8412304
Raph1	3.479507
Cd28	-6.6291904
Gm11579	-3.7722104
2310016D23Rik	-2.8013186
Ctla4	-5.235517
Icos	-5.945399
Gm11587	1.2269813
9530026F06Rik	-4.0023055
Gm11588	-3.5633495
4930587A21Rik	-3.9344213
Pard3b	1.8648626
4930448K12Rik	-2.0035992
Gm12747	-3.793863
Gm11610	-3.95295
Nrp2	-4.2644806
Ino80d	1.551377
Gm11602	3.6323261
Ndufs1	5.2446504
Eef1b2	5.5811734
Gpr1	-2.6493156
Gm11607	-2.901152
Gm11608	-1.8340378
Zdbf2	3.5563412
Adam23	1.8007516
Dytn	-5.0491676
Mdh1b	-0.40443918
Fastkd2	2.225131
4933402D24Rik	-4.9811254
Gm13749	-4.6852217
Klf7	1.4688201
Gm17427	1.1287243
Gm13748	-0.6116451
Creb1	1.6128219
Mettl21a	2.3281853
2810408I11Rik	2.983371
Ccnyl1	3.032229
Fzd5	1.9505973
Plekhm3	3.1039321
Akr1cl	-0.11138466
Cryge	-3.6992576
Crygd	-4.2070303
Crygc	-3.8197913
Crygb	-2.3324912
Cryga	-3.7131584
D630023F18Rik	-3.6083016
Idh1	2.8696773
Pikfyve	3.9613655
Pth2r	-5.5356793
Crygf	-3.4891183
Mtap2	-1.6119962
Gm10558	-4.8992424
Unc80	-4.547088
Rpe	2.7040594
1110028C15Rik	3.2993906
Acadl	1.6677111
Myl1	-4.9917545
Lancl1	5.0700245
Cps1	0.9119055
Gm15668	-2.454544
Gm15669	-3.2403247
Gm15671	-3.7826064
Erbb4	-3.64221
Gm16076	-3.1082964
Ikzf2	-1.6958658
Spag16	-2.181666
Vwc2l	-6.9579835
Bard1	2.2491374
Abca12	-3.371851
Atic	4.0977764
Fn1	3.8753586
Apol7d	-0.4944176
Gm5528	-3.1172853
Mreg	1.6094446
D230017M19Rik	-0.6233204
Pecr	2.0710437
Tmem169	-2.0409245
Xrcc5	5.1716175
Mar-04	-3.3946495
Smarcal1	3.6823144
Ankar	-2.4009728
Rpl37a	7.238531
Igfbp2	2.50902
Igfbp5	1.8781888
Tnp1	-2.9087648
Tns1	-1.751975
Rufy4	-4.2348976
Cxcr2	-5.7712617
Cxcr1	-4.3371153
Arpc2	6.5253377
Gpbar1	-4.271527
Aamp	5.5809517
Pnkd	4.3814235
Tmbim1	-2.0048532
Gm216	-5.08695
Slc11a1	-3.579614
Ctdsp1	3.5143454
Vil1	5.4192696
Usp37	4.7122116
Rqcd1	5.856784
Plcd4	2.7363446
Zfp142	4.1664953
Bcs1l	4.374166
Rnf25	2.848508
Stk36	3.4507093
Ttll4	5.0106816
Cyp27a1	-2.6116452
Prkag3	-5.801783
Wnt6	1.8069415
Wnt10a	-5.4705324
Gm16582	-5.1157913
Cdk5r2	-3.0140324
Fev	-4.86051
Cryba2	-4.4205747
Ccdc108	-1.8943392
Gm15841	-1.0634233
Ihh	-0.36316356
Nhej1	4.6348214
Slc23a3	-5.207732
1810031K17Rik	4.9754853
Fam134a	6.9429603
Zfand2b	4.1194363
Abcb6	5.1374626
Atg9a	4.425157
Ankzf1	3.6864996
Glb1l	3.6821854
Stk16	4.6783686
Tuba4a	1.2138659
Dnajb2	1.9164062
Ptprn	-4.8368974
Resp18	-3.7483003
Dnpep	5.6291194
Des	-2.2231758
Gm15179	-3.961294
Speg	-0.49349737
Gm15178	-1.3470832
Gmppa	3.8821342
Accn4	-3.8775392
Chpf	4.289366
Obsl1	2.8533118
Tmem198	-1.091494
Inha	2.9786868
Stk11ip	4.12122
Slc4a3	-1.6930913
Epha4	0.4829347
Pax3	-6.79643
Sgpp2	0.3430866
Farsb	6.115002
BC035947	-5.229312
Mogat1	-4.654882
Acsl3	3.105082
Utp14b	1.6458555
Kcne4	-5.4798555
Gm5830	-2.5142887
Scg2	-5.480436
Ap1s3	-1.955291
Wdfy1	3.9597168
Mrpl44	5.389249
Serpine2	0.024748586
Fam124b	0.38738748
Cul3	5.8215365
Gm6189	-3.0752344
Dock10	-3.2146688
9430031J16Rik	-7.8122005
Irs1	-2.7485807
Gm9747	-2.34198
Rhbdd1	2.0551755
Col4a4	-1.2388805
Col4a3	-4.162421
C430014B12Rik	3.662851
Mff	4.8845744
Tm4sf20	-4.7598267
Agfg1	5.2084203
Slc19a3	-3.639522
Ccl20	-4.6740966
Wdr69	-0.30544296
Sphkap	-7.2822733
Pid1	-5.444937
Dner	0.5511081
Trip12	6.2764745
Fbxo36	1.5683194
Slc16a14	-5.84436
C130026I21Rik	-1.9514008
A530032D15Rik	-4.6959615
A530040E14Rik	-3.6462135
Gm7609	-5.4868083
Gm16028	-1.2621018
Gm2619	-2.8914037
Gm16025	-5.445175
Gm16092	-5.433227
Gm7592	-5.782606
Sp110	-4.1700726
Gm16094	-2.9394982
Sp140	-0.7498425
Gm10552	-4.2458
Gm17017	-2.1112988
Sp100	-5.93281
A630001G21Rik	-3.8733008
Cab39	4.791074
Itm2c	2.19165
4933407L21Rik	-4.450519
Gpr55	-3.3656843
Spata3	-5.196466
2810459M11Rik	-5.7511425
Psmd1	5.482372
Htr2b	-5.1067176
Armc9	2.5125263
Gm16341	-2.7598267
B3gnt7	1.0195818
Gm5258	-2.5545528
Ncl	5.828699
C130036L24Rik	-0.11039326
Nmur1	-4.5699124
Rpl30-ps6	-2.6443493
Ptma	7.0595427
Pde6d	4.608323
Cops7b	4.2145567
Nppc	-4.227929
Dis3l2	2.9147942
Alppl2	-4.0944796
Alpi	-3.6536472
Akp3	-4.9156513
Ecel1	-3.8225417
1700027L20Rik	-3.989308
Chrnd	-4.6187835
Chrng	-3.9570446
Eif4e2	4.5813313
Efhd1	-1.1957593
Gm16535	-2.5764453
Gigyf2	4.0249968
Kcnj13	-1.1900905
3110079O15Rik	-3.053155
Ngef	1.8649806
Neu2	-2.388139
Inpp5d	0.47628638
Atg16l1	2.838854
5830472F04Rik	-2.656733
Sag	-2.8460913
Dgkd	6.245002
Usp40	3.5416982
Ugt1a10	-1.7365397
RP23-324B17.1	-1.7800428
Ugt1a9	-1.8241899
Ugt1a8	-1.8483605
Ugt1a7c	-2.123098
Ugt1a6b	-1.9454323
Ugt1a6a	-3.2451441
Ugt1a5	-1.8327285
Ugt1a2	-1.8379577
Dnajb3	1.6329187
Ugt1a1	-1.4679041
Heatr7b1	0.21159159
Hjurp	4.7247376
Trpm8	-2.9357088
4930453O03Rik	-3.3208656
Spp2	-4.0593867
Glrp1	-3.2375796
Arl4c	-1.6145377
Sh3bp4	-1.6686351
Agap1	5.401163
Gbx2	-1.4553951
D130058E05Rik	-1.886505
Asb18	-4.8334923
Iqca	2.0982897
Cxcr7	-3.4365582
Cops8	6.835348
Gm9991	-4.438616
Col6a3	-1.2365737
Mlph	-4.114684
Prlh	-2.229312
Rab17	-5.161408
Lrrfip1	0.09508114
Rbm44	4.3772016
Ramp1	-1.7038001
Ube2f	3.0885541
Gm17560	-3.0779228
Scly	0.38422605
Gm17090	-2.9860406
Espnl	-1.2893989
Klhl30	-3.642327
Fam132b	-2.0483778
Ilkap	5.691021
Hes6	4.155558
Per2	-0.97644
Traf3ip1	3.1986985
Asb1	2.5872123
Twist2	-2.425528
Hdac4	3.666175
Hdac4	3.6335979
Gm17418	-0.4458037
Ndufa10	6.044024
Olfr1416	-4.076387
Olfr1415	-4.0717707
Olfr1414	-1.9430077
Olfr1413	-4.2808905
Olfr1412	-4.1172853
Olfr1411	-4.1262183
Olfr1410	-4.121759
Olfr12	-4.3319764
Myeov2	3.7045934
Otos	-5.791057
Gpc1	4.120388
Ankmy1	-2.71385
Dusp28	1.362729
5033417F24Rik	1.0557796
Rnpepl1	4.880846
Capn10	4.124868
Gpr35	-1.6609087
Aqp12	-4.288869
Kif1a	-2.6107774
Gm17672	-5.0694566
Agxt	-4.7844887
2310007B03Rik	-5.410859
E030010N08Rik	-0.6187981
Sned1	-0.21735305
Mterfd2	3.2179134
Pask	3.5626917
Ppp1r7	3.4173458
Ano7	-4.1159406
Hdlbp	6.2006893
Gm17415	-3.847064
Sep-02	3.305807
Farp2	2.2933154
Stk25	7.2175546
Bok	-1.2112904
Thap4	5.6763606
Atg4b	4.524123
Dtymk	4.5578685
Ing5	2.8577209
D2hgdh	0.75605834
Gal3st2	-5.6761255
Gm9994	-5.6761255
Gm7889	-2.9361157
Gm6086	-0.54516894
Neu4	-6.2127376
Pdcd1	-5.114295
Gm17386	-3.7347357
Fam174a	3.1432424
St8sia4	-6.6030855
Slco4c1	-5.4266133
Gm5101	-6.110173
Slco6b1	-5.4856515
Slco6c1	-5.649522
D1Ertd622e	2.0010238
Ppip5k2	3.1492126
Gin1	2.290613
Pam	2.010313
B230216N24Rik	-1.9161363
Slco6d1	-5.831673
Cntnap5b	-6.5244603
Cdh20	-0.13686562
Gm15699	-2.330689
Rnf152	-5.1075635
Gm17634	-2.3702033
Pign	3.5205722
2310035C23Rik	4.411127
Tnfrsf11a	-3.173524
Zcchc2	5.3041506
Phlpp1	4.663896
Bcl2	0.23665264
D630008O14Rik	-1.4700649
Kdsr	1.5593132
Vps4b	1.6886637
Serpinb5	-5.6266217
Serpinb12	-5.4879637
Serpinb13	-4.9537864
Serpinb3a	-4.9027123
Serpinb3d	-4.4670205
Serpinb3b	-4.922505
Serpinb3c	-4.8975043
Serpinb11	-5.2265453
Gm15391	-2.2070305
Serpinb7	-5.1358337
Serpinb2	-5.3992367
Serpinb8	-5.7022476
Gm15389	5.2005754
Cdh7	-7.2842197
Cdh19	-5.7778897
Dsel	0.44893247
9330185C12Rik	-4.180116
Cntnap5a	-2.5136933
Tsn	5.7088556
Mki67ip	4.5667896
Clasp1	4.884349
2900060B14Rik	-0.4868082
Gm11102	-0.10829648
Tcfcp2l1	1.969616
Gli2	-2.795287
Inhbb	-2.0168834
Ralb	-0.53032625
Epb4.1l5	4.316341
Ptpn4	3.093934
Tmem177	2.2943814
Gm101	-1.1663654
Sctr	-4.95479
Tmem37	-4.5578575
Dbi	3.2582512
3110009E18Rik	-0.7570905
Steap3	0.42425576
C1ql2	-5.1650248
Marco	-0.19697116
En1	-5.988982
B230209K01Rik	-5.614505
Insig2	3.2681155
Ccdc93	2.1441245
Gm15392	-2.653029
Htr5b	-0.7195931
Ddx18	3.2234752
Dpp10	-3.9875124
Actr3	3.3093274
Slc35f5	4.3611836
Gpr39	-5.759348
Lypd1	-6.982355
Nckap5	-0.049879774
Mgat5	0.8525652
Tmem163	-3.5210779
Acmsd	-2.8967733
Ccnt2	2.6489768
Ysk4	-2.669989
Rab3gap1	2.9722617
Zranb3	1.5448955
R3hdm1	5.3503976
Ubxn4	5.341285
Lct	0.17575389
Mcm6	5.3825526
Dars	5.7738943
Cxcr4	-0.4101501
Gm17699	-4.808875
Thsd7b	-3.560547
Gm16081	-3.6192582
Daf2	1.4011335
Gm15674	1.5320047
Gm15675	1.1921781
Cd55	4.9982576
Gm16083	2.669437
Zp3r	-5.251935
C4bp	-5.7816644
Pfkfb2	1.9140135
Yod1	1.1154425
AA986860	-1.3852893
Fcamr	-3.9495149
Gm15848	-4.1073947
Pigr	-6.024176
Faim3	-4.8101225
Il24	-4.637076
Il20	-3.8879066
Il19	-4.2782216
Il10	-4.556757
Mapkapk2	4.1811595
Dyrk3	2.9224737
Eif2d	3.302821
Rassf5	-0.09793666
Ikbke	-1.3551044
Srgap2	3.1933813
Fam72a	1.1930735
Avpr1b	-6.1754613
Ctse	-5.8307624
5430435G22Rik	-1.762062
Slc26a9	-4.8159313
Pm20d1	0.19115563
Slc41a1	3.9411678
Rab7l1	1.761307
Nucks1	3.407617
Slc45a3	1.395144
Elk4	1.244093
Mfsd4	-0.18815134
Gm17288	-4.8773627
Cdk18	-1.6206814
Lemd1	-2.9889822
1700037F24Rik	-3.975699
Gm10188	-3.693259
Klhdc8a	-1.8611578
Nuak2	-2.4010782
Tmcc2	1.4066147
Gm15849	-1.4374201
Dstyk	3.3463001
6030442K20Rik	-0.31618926
Rbbp5	3.291467
Tmem81	0.092616186
Cntn2	1.8557014
Nfasc	-0.89879054
Lrrn2	-3.8611786
Mdm4	3.8077419
Pik3c2b	1.1654059
Ppp1r15b	4.1140223
Plekha6	-3.457057
Golt1a	-5.0484633
Kiss1	-3.8068855
Ren1	-2.1587982
Etnk2	-0.37322783
Sox13	1.468913
Snrpe	3.3423135
Gm17713	-1.0074722
Zc3h11a	4.1865716
Lax1	-2.9387546
Gm17678	-2.1262183
Atp2b4	3.153752
Optc	-1.7970362
Gm15851	-0.6127352
Prelp	0.013460351
Fmod	-3.7402735
Btg2	2.1584148
Gm8618	-3.1758206
Chit1	-1.7052317
Chi3l1	-5.6546764
Mybph	-1.715528
Adora1	0.19396308
Myog	0.00515336
Ppfia4	1.3484255
Tmem183a	5.140964
4933406M09Rik	-4.990939
Cyb5r1	4.274509
Adipor1	4.629387
Klhl12	3.9142687
Gm11092	-0.99582165
Rabif	3.0515163
4931440L10Rik	-2.0812514
Kdm5b	5.675765
Gm3834	-5.264329
Syt2	-2.4050684
Ppp1r12b	3.3245432
Ube2t	4.100982
Lgr6	0.5650904
Ptprv	-0.23427816
Ptpn7	-4.7739167
Arl8a	1.7724912
Gm15445	-3.43742
Gpr37l1	-5.1972437
Gm16606	0.7181438
Elf3	0.23274046
Rnpep	0.54818636
Timm17a	3.0785704
Lmod1	-6.1483126
Shisa4	-1.9670731
Ipo9	3.9004967
Nav1	1.5512565
Gm4793	-1.5962973
Nav1	-3.148312
Csrp1	1.4763383
Phlda3	0.04463175
Tnni1	-1.4655669
Lad1	-2.011335
Tnnt2	-2.1605382
Pkp1	-6.496027
Igfn1	-4.379199
Tmem9	4.6081257
Cacna1s	-6.879566
Gm15850	-5.2021103
Kif21b	-1.642527
2310006M14Rik	-3.1605387
5730559C18Rik	-2.8424253
Gm17643	-4.839842
Gpr25	0.013959324
Gm17543	0.4221432
Camsap2	3.059994
9230116N13Rik	0.003949159
Ddx59	3.362211
Kif14	3.8932104
Gm17718	-5.4534802
Zfp281	3.8722374
Gm16880	-3.2770185
Nr5a2	-5.95479
A130050O07Rik	-5.240325
Ptprc	-6.707217
Atp6v1g3	-5.0817547
Nek7	0.8776341
Lhx9	-0.90089154
2310009B15Rik	0.115178466
Dennd1b	1.8409327
4930596I21Rik	-0.5540231
Crb1	-1.6841807
Zbtb41	1.696097
Aspm	3.3434944
F13b	-5.5068974
Cfhr1	-5.0992513
Cfhr3	-4.1247334
Gm4788	-5.8321276
Cfhr2	-6.252275
Cfh	-6.9437156
Kcnt2	-3.4951074
Cdc73	2.035121
B3galt2	-6.5120187
Glrx2	-0.38486174
Trove2	-0.11958037
Uchl5	3.096508
Rgs2	0.14840397
Rgs13	-4.882644
Rgs1	-4.9525313
Rgs21	-3.0437562
Rgs18	-5.1893806
Gm5263	3.2281313
Fam5c	-4.632015
A230059L01Rik	-5.6593
Gm15584	-3.769362
Gm9931	-4.4120774
Pla2g4a	-3.2311199
7530420F21Rik	-6.2681675
Ptgs2	-6.2178664
Gm17311	-4.9704175
Pdc	-4.484494
BC003331	3.8018873
Tpr	4.8880177
Prg4	-3.5278354
Hmcn1	-0.994302
Ivns1abp	4.751596
1200016B10Rik	2.6786883
1190005F20Rik	3.4930599
Rnf2	4.779838
Fam129a	-0.50649047
Edem3	3.4168093
1700025G04Rik	1.9895798
Tsen15	-0.16314484
Glt25d2	-6.252955
Rgl1	2.573427
Gm15479	-4.3473377
Apobec4	-2.6622713
Arpc5	2.8206801
Ncf2	-4.391477
Smg7	5.8622913
Nmnat2	-0.21486805
Lamc2	0.973876
Lamc1	5.0160613
E330020D12Rik	3.9808576
1700012A16Rik	5.308927
Dhx9	5.9106693
Npl	-0.91873956
Rgs8	-6.8192406
Rgs16	-0.5972226
Rnasel	-0.873225
Rgsl1	-6.398008
5830403L16Rik	0.47666612
Gm5531	-5.504616
Teddm1	-4.667992
Glul	3.381581
A930039A15Rik	-3.0437562
Gm11074	-1.4302247
Zfp648	-4.673284
Cacna1e	-5.681489
Gm9530	1.6443387
Ier5	2.0699382
Mr1	-1.3422997
Stx6	4.351342
BC034090	1.7181644
Xpr1	2.4658294
Gm5532	-4.823366
Acbd6	5.548138
Lhx4	-1.7312269
Qsox1	2.6124153
Cep350	3.416873
Tor1aip1	3.0920784
Tor1aip2	2.3483152
Fam163a	-3.3870246
Tdrd5	4.9732914
Nphs2	-2.4849572
9430070O13Rik	1.4169536
Gm2000	-0.84706426
Soat1	2.1733773
Abl2	4.8667655
Tor3a	0.69672656
Fam20b	2.6678581
Ralgps2	3.4005177
Angptl1	-4.521586
1700057K13Rik	-4.2782216
Rasal2	3.5327218
2810025M15Rik	3.5567675
BC026585	2.0979562
Gm15486	0.043706525
Sec16b	-3.4508157
Fam5b	-1.192478
Astn1	-0.168148
Pappa2	-0.69008476
1600012P17Rik	-5.683205
Gm4953	-3.1262183
Rfwd2	2.235531
Gm10530	-4.3912306
Tnr	-6.4743276
4930523C07Rik	-2.2084773
4930562F07Rik	-1.858367
Tnn	-6.708705
Mrps14	2.2350228
Cacybp	4.4397354
Rabgap1l	2.3284605
Gm6177	-3.0624926
Rc3h1	2.506521
Serpinc1	-3.124213
Zbtb37	2.5809517
Gas5	2.512872
Dars2	3.4468932
Cenpl	1.3448763
Klhl20	2.963976
Ankrd45	1.1133922
4930469G21Rik	-2.6836088
Prdx6	3.2197757
Tnfsf4	-4.8425546
Tnfsf18	-5.2140303
Fasl	-5.121014
AI848100	3.749695
4930558K02Rik	2.6927457
Pigc	1.8544565
Dnm3	-4.7489753
2810442N19Rik	-2.9073834
Dnm3os	-7.154147
Gm10176	-5.1940613
Mettl13	2.9987357
Vamp4	2.5722752
Gm5705	-3.4937274
Myoc	-0.98361385
7420461P10Rik	-0.9860407
Prrc2c	5.995189
Fmo4	-2.5938842
Fmo1	-3.7982664
Fmo2	-6.6383777
Fmo3	-2.6998563
4921528O07Rik	-5.7308364
Prrx1	-5.8986773
Gm20471	-3.4914246
Gm17698	-4.896634
Gorab	2.8524573
Mettl11b	-5.052374
Kifap3	5.08509
Scyl3	3.956298
BC055324	4.7466006
2810422O20Rik	2.0021107
Sele	-5.7092004
Sell	-5.415725
Selp	-4.5719843
Gm16587	-3.9546227
Gm16548	-3.309146
F5	-6.9085493
Slc19a2	0.6443711
4930455F23Rik	5.5337954
Blzf1	3.1178763
Nme7	3.1193364
Atp1b1	4.473486
Gm16608	-5.185112
Dpt	-1.2659281
Xcl1	-3.232073
Tbx19	-0.19779447
Sft2d2	3.6809688
Tiprl	3.478874
Gpr161	0.5878241
Dcaf6	5.342477
Brp44	2.5411115
Adcy10	2.4672556
Mpzl1	2.0522544
Rcsd1	0.09153514
Creg1	2.6990004
Gm16565	-5.29218
Cd247	2.2493517
Pou2f1	3.2288454
Gm17444	-1.183829
Dusp27	-4.0223827
Gpa33	-2.4704158
Mael	9.1846075
Ildr2	-1.1528655
5330438I03Rik	-3.2016876
Tada1	3.0697956
Gm15853	-0.5833813
Pogk	5.5757914
Gm4846	-2.817587
Gm4847	-5.757912
Fmo9	-5.783077
Gm16701	-0.7485807
Fam78b	-0.029289175
Uck2	3.5813637
Uck2	4.966765
Tmco1	3.0568674
Aldh9a1	5.9061236
Mgst3	3.8624768
Lrrc52	-4.352422
Rxrg	-2.89301
