gene	sample	expression
SPRR2C	Normal_3	0.9305483
TSHZ2	Normal_3	1.7676553
ALDH3A1	Normal_3	-3.3696383
PEBP4	Normal_3	1.0915313
AKR1C3	Normal_3	-1.9885043
FMO2	Normal_3	2.6459323
PVRL4	Normal_3	0.6968843
FAM75A1	Normal_3	1.9989183
C1orf187	Normal_3	-1.0892673
COL1A1	Normal_3	-1.7858753
HBE1	Normal_3	1.5859243
TP63	Normal_3	1.2630343
SFTPC	Normal_3	2.2006933
BBC3	Normal_3	-1.4860043
ALDH3B2	Normal_3	-0.5950973
SPRR3	Normal_3	-0.1265803
S1PR1	Normal_3	1.7296938
KRT17	Normal_3	-1.1140353
ADRB1	Normal_3	2.1959773
KRT14	Normal_3	-0.9296113
SPRR2G	Normal_3	0.6617503
LYPD3	Normal_3	-0.5043053
AKR1C2	Normal_3	-1.4331053
IGSF10	Normal_3	3.3338533
PVRL1	Normal_3	0.0028833
SPRR1B	Normal_3	0.499473
WDR72	Normal_3	0.0717633
FABP4	Normal_3	2.9051583
LOC100132639	Normal_3	-0.3584543
SERPINB3	Normal_3	0.2666373
FGF11	Normal_3	-2.1909973
KRT13	Normal_3	-0.8439283
LOC729070	Normal_3	0.8655233
TTK	Normal_3	-3.5063533
GJB2	Normal_3	0.7320523
CLCA2	Normal_3	0.8221183
PI4KAP1	Normal_3	1.7907723
PFN2	Normal_3	-2.0709673
SFTPH	Normal_3	2.5170243
EPAS1	Normal_3	1.7044293
AGER	Normal_3	1.1123673
LOC346085	Normal_3	-2.6170563
SFN	Normal_3	-0.7661123
DSG3	Normal_3	0.3359508
AQP4	Normal_3	3.2527853
KRT15	Normal_3	-0.5353323
MMP12	Normal_3	0.6294733
CTHRC1	Normal_3	-1.8416633
ADH1B	Normal_3	2.8219143
PI3	Normal_3	-0.4619593
CDH5	Normal_3	1.6526013
SPRR1A	Normal_3	-1.4900513
AKR1B10	Normal_3	-3.0709673
PTPRZ1	Normal_3	0.2809563
TENC1	Normal_3	0.5310693
MMP10	Normal_3	-0.3183263
ADH1C	Normal_3	2.7727303
COL3A1	Normal_3	0.0454433
SCGB1A1	Normal_3	1.7450223
FHL1	Normal_3	1.5548343
SPP1	Normal_3	-2.3437323
LAD1	Normal_3	0.6238673
CLDN18	Normal_3	2.5313193
CDCA5	Normal_3	-2.4900513
KRT16	Normal_3	-0.9434163
KRT5	Normal_3	-0.3075733
PERP	Normal_3	0.1388143
NTS	Normal_3	-2.8365013
HPGD	Normal_3	1.8773523
MFAP4	Normal_3	1.1807843
SLC2A1	Normal_4	-1.4135533
NBPF14	Normal_4	2.0429943
SPRR2C	Normal_4	0.3448283
TSHZ2	Normal_4	1.0186343
ALDH3A1	Normal_4	-2.2546368
PEBP4	Normal_4	-0.9885043
AKR1C3	Normal_4	-1.4900513
FMO2	Normal_4	2.4841383
PVRL4	Normal_4	1.1420873
FAM75A1	Normal_4	1.0996323
C1orf187	Normal_4	0.2103893
COL1A1	Normal_4	0.3504973
HBE1	Normal_4	-0.2378643
TP63	Normal_4	4.5715553
SFTPC	Normal_4	0.6672113
BBC3	Normal_4	1.0648833
ALDH3B2	Normal_4	2.1940873
SPRR3	Normal_4	0.0454433
S1PR1	Normal_4	1.5406443
KRT17	Normal_4	0.0412433
ADRB1	Normal_4	0.4719683
KRT14	Normal_4	0.3207733
SPRR2G	Normal_4	0.0454433
LYPD3	Normal_4	-0.6326293
AKR1C2	Normal_4	-1.25087963333333
IGSF10	Normal_4	3.4770303
PVRL1	Normal_4	-0.0603973
SPRR1B	Normal_4	0.0449185
WDR72	Normal_4	-0.2722973
FABP4	Normal_4	2.4321583
LOC100132639	Normal_4	0.4340283
SERPINB3	Normal_4	1.2756033
FGF11	Normal_4	-1.2584253
KRT13	Normal_4	-0.39959480000000003
LOC729070	Normal_4	0.4678013
TTK	Normal_4	-1.8520423
GJB2	Normal_4	0.8559903
CLCA2	Normal_4	0.8647313
PI4KAP1	Normal_4	-0.9686053
PFN2	Normal_4	-1.2757863
SFTPH	Normal_4	1.7132563
EPAS1	Normal_4	0.0271543
AGER	Normal_4	-1.1877073
LOC346085	Normal_4	-1.8059133
SFN	Normal_4	-0.8730273
DSG3	Normal_4	0.2056023
AQP4	Normal_4	2.3709383
KRT15	Normal_4	0.1839633
MMP12	Normal_4	0.6951033
CTHRC1	Normal_4	-0.1171613
ADH1B	Normal_4	3.2072683
PI3	Normal_4	-0.6780723
CDH5	Normal_4	0.5518853
SPRR1A	Normal_4	-0.4285663
AKR1B10	Normal_4	-2.6711643
PTPRZ1	Normal_4	0.7536053
TENC1	Normal_4	0.7048723
MMP10	Normal_4	0.6762673
ADH1C	Normal_4	3.0548483
COL3A1	Normal_4	1.2172313
SCGB1A1	Normal_4	2.2672363
FHL1	Normal_4	2.0652283
SPP1	Normal_4	-0.6371093
LAD1	Normal_4	0.3895673
CLDN18	Normal_4	0.4987613
CDCA5	Normal_4	-2.3510743
KRT16	Normal_4	-0.0424573
KRT5	Normal_4	1.4931353
PERP	Normal_4	0.3851553
NTS	Normal_4	-1.2446853
HPGD	Normal_4	0.4254593
MFAP4	Normal_4	0.9737953
SLC2A1	Normal_5	-2.16064863333333
NBPF14	Normal_5	-0.2025723
SPRR2C	Normal_5	-0.2209503
TSHZ2	Normal_5	1.3299853
ALDH3A1	Normal_5	-2.8271408
PEBP4	Normal_5	1.2003793
AKR1C3	Normal_5	-2.4422223
FMO2	Normal_5	2.8993693
PVRL4	Normal_5	-0.2688173
FAM75A1	Normal_5	1.5940713
C1orf187	Normal_5	-1.6850143
COL1A1	Normal_5	-1.9434163
HBE1	Normal_5	2.4369613
TP63	Normal_5	0.2412303
SFTPC	Normal_5	2.0313953
BBC3	Normal_5	-0.2498223
ALDH3B2	Normal_5	-1.1778823
SPRR3	Normal_5	-0.5269923
S1PR1	Normal_5	1.8935768
KRT17	Normal_5	-0.7908593
ADRB1	Normal_5	2.0175663
KRT14	Normal_5	-1.7710273
SPRR2G	Normal_5	0.0717633
LYPD3	Normal_5	-0.5207693
AKR1C2	Normal_5	-2.04704196666667
IGSF10	Normal_5	3.0282163
PVRL1	Normal_5	-0.5437203
SPRR1B	Normal_5	0.5472543
WDR72	Normal_5	-0.3940323
FABP4	Normal_5	2.3796213
LOC100132639	Normal_5	0.0057593
SERPINB3	Normal_5	-0.2915923
FGF11	Normal_5	-1.5063533
KRT13	Normal_5	-1.2214328
LOC729070	Normal_5	1.4388253
TTK	Normal_5	-2.9545573
GJB2	Normal_5	-0.4092783
CLCA2	Normal_5	0.1163653
PI4KAP1	Normal_5	2.3939653
PFN2	Normal_5	-2.3147333
SFTPH	Normal_5	3.1081903
EPAS1	Normal_5	1.4467863
AGER	Normal_5	1.7999163
LOC346085	Normal_5	-2.2446853
SFN	Normal_5	-1.3111483
DSG3	Normal_5	-0.2435258
AQP4	Normal_5	3.3385263
KRT15	Normal_5	-0.6642883
MMP12	Normal_5	0.1724883
CTHRC1	Normal_5	-2.2863043
ADH1B	Normal_5	3.5196683
PI3	Normal_5	-0.4383073
CDH5	Normal_5	1.5572883
SPRR1A	Normal_5	0.0731353
AKR1B10	Normal_5	-3.0954203
PTPRZ1	Normal_5	-0.3364283
TENC1	Normal_5	1.5518853
MMP10	Normal_5	-0.6259343
ADH1C	Normal_5	3.1389783000000002
COL3A1	Normal_5	-1.1552133
SCGB1A1	Normal_5	0.0143553
FHL1	Normal_5	1.9411063
SPP1	Normal_5	-3.7563313
LAD1	Normal_5	0.4103413
CLDN18	Normal_5	2.3567073
CDCA5	Normal_5	-2.7466163
KRT16	Normal_5	-0.9132163
KRT5	Normal_5	0.0635033
PERP	Normal_5	-0.4092783
NTS	Normal_5	-3.2378643
HPGD	Normal_5	2.3715593
MFAP4	Normal_5	1.7999163
SLC2A1	Normal_6	-1.99350463333333
NBPF14	Normal_6	0.5028403
SPRR2C	Normal_6	-0.0454313
TSHZ2	Normal_6	0.9898663
ALDH3A1	Normal_6	-2.9049773
PEBP4	Normal_6	0.9433593
AKR1C3	Normal_6	-2.1844253
FMO2	Normal_6	3.1095283
PVRL4	Normal_6	0.0482363
FAM75A1	Normal_6	1.5523773
C1orf187	Normal_6	-1.4941093
COL1A1	Normal_6	-2.0115883
HBE1	Normal_6	1.4962073
TP63	Normal_6	0.7561693
SFTPC	Normal_6	1.2060183
BBC3	Normal_6	0.1609203
ALDH3B2	Normal_6	-0.9077933
SPRR3	Normal_6	-0.5972783
S1PR1	Normal_6	1.9129048
KRT17	Normal_6	-0.9213903
ADRB1	Normal_6	2.5278213
KRT14	Normal_6	-1.7036893
SPRR2G	Normal_6	-0.6237103
LYPD3	Normal_6	-0.4227523
AKR1C2	Normal_6	-2.22286363333333
IGSF10	Normal_6	3.1583373
PVRL1	Normal_6	-0.4860043
SPRR1B	Normal_6	0.4675365
WDR72	Normal_6	-0.4981793
FABP4	Normal_6	1.7123763
LOC100132639	Normal_6	-0.4880263
SERPINB3	Normal_6	-0.3111483
FGF11	Normal_6	-1.5691803
KRT13	Normal_6	-1.1477838
LOC729070	Normal_6	1.7454523
TTK	Normal_6	-3.0232703
GJB2	Normal_6	-0.5929193
CLCA2	Normal_6	0.1163653
PI4KAP1	Normal_6	2.3141163
PFN2	Normal_6	-1.7466163
SFTPH	Normal_6	2.9608823
EPAS1	Normal_6	2.0161403
AGER	Normal_6	1.5670593
LOC346085	Normal_6	-2.5063533
SFN	Normal_6	-1.6214883
DSG3	Normal_6	-0.3022908
AQP4	Normal_6	3.2996078
KRT15	Normal_6	-0.5104573
MMP12	Normal_6	0.0579703
CTHRC1	Normal_6	-2.2378643
ADH1B	Normal_6	3.3946513
PI3	Normal_6	-0.5187013
CDH5	Normal_6	1.8718443
SPRR1A	Normal_6	-0.2845463
AKR1B10	Normal_6	-2.3075733
PTPRZ1	Normal_6	-0.1124753
TENC1	Normal_6	1.1654303
MMP10	Normal_6	-0.1926453
ADH1C	Normal_6	3.0036023
COL3A1	Normal_6	-1.1746213
SCGB1A1	Normal_6	1.5772483
FHL1	Normal_6	2.0600473
SPP1	Normal_6	-3.1584293
LAD1	Normal_6	0.0328063
CLDN18	Normal_6	2.4249223
CDCA5	Normal_6	-3.0469213
KRT16	Normal_6	-1.0350473
KRT5	Normal_6	-0.0247373
PERP	Normal_6	-0.2075613
NTS	Normal_6	-3.0831413
HPGD	Normal_6	3.2441263
MFAP4	Normal_6	1.5907223
SLC2A1	Normal_7	-2.0887163
NBPF14	Normal_7	-0.2293823
SPRR2C	Normal_7	-0.0543923
TSHZ2	Normal_7	1.6717463
ALDH3A1	Normal_7	-2.8883753
PEBP4	Normal_7	1.4651913
AKR1C3	Normal_7	-2.4188903
FMO2	Normal_7	3.3897043
PVRL4	Normal_7	0.2277413
FAM75A1	Normal_7	1.8914193
C1orf187	Normal_7	-1.5521563
COL1A1	Normal_7	-1.8730273
HBE1	Normal_7	1.0043223
TP63	Normal_7	0.9553133
SFTPC	Normal_7	2.0310423
BBC3	Normal_7	-0.5353323
ALDH3B2	Normal_7	-0.7784323
SPRR3	Normal_7	-0.5022603
S1PR1	Normal_7	2.2644238
KRT17	Normal_7	-0.9885043
ADRB1	Normal_7	1.9515883
KRT14	Normal_7	-1.6259343
SPRR2G	Normal_7	-0.2125683
LYPD3	Normal_7	-0.4880263
AKR1C2	Normal_7	-2.16659163333333
IGSF10	Normal_7	3.4059923
PVRL1	Normal_7	-0.6126373
SPRR1B	Normal_7	0.2034255
WDR72	Normal_7	-0.2549783
FABP4	Normal_7	2.1253203
LOC100132639	Normal_7	-0.4344033
SERPINB3	Normal_7	-0.3566063
FGF11	Normal_7	-1.5563933
KRT13	Normal_7	-0.8931618
LOC729070	Normal_7	1.7407123
TTK	Normal_7	-2.6438563
GJB2	Normal_7	-0.4920793
CLCA2	Normal_7	0.2351143
PI4KAP1	Normal_7	2.0461423
PFN2	Normal_7	-1.9771003
SFTPH	Normal_7	3.0331593
EPAS1	Normal_7	1.8651273
AGER	Normal_7	2.1160323
LOC346085	Normal_7	-2.6803823
SFN	Normal_7	-1.6438563
DSG3	Normal_7	-0.1042245
AQP4	Normal_7	3.3728938
KRT15	Normal_7	-0.5950973
MMP12	Normal_7	-0.1140353
CTHRC1	Normal_7	-2.3364283
ADH1B	Normal_7	3.7794703
PI3	Normal_7	-0.5799223
CDH5	Normal_7	2.0686713
SPRR1A	Normal_7	-0.4150373
AKR1B10	Normal_7	-2.3733273
PTPRZ1	Normal_7	-0.2481083
TENC1	Normal_7	1.4070813
MMP10	Normal_7	-0.5907453
ADH1C	Normal_7	2.9798423
COL3A1	Normal_7	-1.3921373
SCGB1A1	Normal_7	1.8583793
FHL1	Normal_7	2.3879143
SPP1	Normal_7	-3.5734673
LAD1	Normal_7	0.2606283
CLDN18	Normal_7	2.5895243
CDCA5	Normal_7	-2.4422223
KRT16	Normal_7	-0.7417833
KRT5	Normal_7	0.0028833
PERP	Normal_7	-0.0770413
NTS	Normal_7	-2.6803823
HPGD	Normal_7	3.0322773
MFAP4	Normal_7	1.2612303
SLC2A1	Normal_8	-1.46558196666667
NBPF14	Normal_8	1.3994453
SPRR2C	Normal_8	0.2545943
TSHZ2	Normal_8	0.5008023
ALDH3A1	Normal_8	-1.9871428
PEBP4	Normal_8	-0.6757653
AKR1C3	Normal_8	-2.5479323
FMO2	Normal_8	3.2837743
PVRL4	Normal_8	1.2945473
FAM75A1	Normal_8	0.5330653
C1orf187	Normal_8	-1.0954203
COL1A1	Normal_8	-1.2243173
HBE1	Normal_8	0.0285693
TP63	Normal_8	2.2767943
SFTPC	Normal_8	0.0370313
BBC3	Normal_8	-0.0634093
ALDH3B2	Normal_8	-0.1062493
SPRR3	Normal_8	-0.6192713
S1PR1	Normal_8	0.3947573
KRT17	Normal_8	0.9811223
ADRB1	Normal_8	0.6059683
KRT14	Normal_8	0.3184613
SPRR2G	Normal_8	3e-7
LYPD3	Normal_8	-0.6711643
AKR1C2	Normal_8	-2.16704963333333
IGSF10	Normal_8	2.8987893
PVRL1	Normal_8	-0.1472023
SPRR1B	Normal_8	0.2638595
WDR72	Normal_8	-0.2810363
FABP4	Normal_8	-0.2618813
LOC100132639	Normal_8	0.6897463
SERPINB3	Normal_8	0.1763233
FGF11	Normal_8	-1.2042333
KRT13	Normal_8	0.0331265
LOC729070	Normal_8	-0.5207693
TTK	Normal_8	-2.9105023
GJB2	Normal_8	-0.2618813
CLCA2	Normal_8	0.1518593
PI4KAP1	Normal_8	-0.1992553
PFN2	Normal_8	-1.7321653
SFTPH	Normal_8	2.8178283
EPAS1	Normal_8	0.1003053
AGER	Normal_8	0.0482363
LOC346085	Normal_8	-1.9657843
SFN	Normal_8	-0.2968993
DSG3	Normal_8	-0.0177125
AQP4	Normal_8	3.2626408
KRT15	Normal_8	0.3895673
MMP12	Normal_8	0.2951353
CTHRC1	Normal_8	-1.6082323
ADH1B	Normal_8	2.7484613
PI3	Normal_8	-0.7249933
CDH5	Normal_8	0.3033423
SPRR1A	Normal_8	-0.0424573
AKR1B10	Normal_8	-2.6989983
PTPRZ1	Normal_8	-0.0188783
TENC1	Normal_8	0.7084083
MMP10	Normal_8	-0.4739313
ADH1C	Normal_8	2.1721673
COL3A1	Normal_8	-1.2549783
SCGB1A1	Normal_8	2.2172313
FHL1	Normal_8	1.4828483
SPP1	Normal_8	0.7013273
LAD1	Normal_8	0.2963113
CLDN18	Normal_8	0.4678013
CDCA5	Normal_8	-2.4579903
KRT16	Normal_8	0.1163653
KRT5	Normal_8	1.9422333
PERP	Normal_8	0.2761993
NTS	Normal_8	-2.4900513
HPGD	Normal_8	0.7493203
MFAP4	Normal_8	0.4573323
SLC2A1	Normal_9	-2.01754996666667
NBPF14	Normal_9	1.3091763
SPRR2C	Normal_9	0.1596293
TSHZ2	Normal_9	0.6498453
ALDH3A1	Normal_9	-2.4234428
PEBP4	Normal_9	0.6852673
AKR1C3	Normal_9	-2.3959293
FMO2	Normal_9	1.9679063
PVRL4	Normal_9	-0.1140353
FAM75A1	Normal_9	0.9396033
C1orf187	Normal_9	-0.9742623
COL1A1	Normal_9	-1.5994623
HBE1	Normal_9	0.8081793
TP63	Normal_9	0.3414173
SFTPC	Normal_9	1.6031222999999999
BBC3	Normal_9	0.3021733
ALDH3B2	Normal_9	0.2053933
SPRR3	Normal_9	0.2215683
S1PR1	Normal_9	1.3591073
KRT17	Normal_9	-0.5820803
ADRB1	Normal_9	0.2400093
KRT14	Normal_9	-2.0409723
SPRR2G	Normal_9	-0.1424173
LYPD3	Normal_9	-0.4880263
AKR1C2	Normal_9	-2.1245333
IGSF10	Normal_9	3.0712483
PVRL1	Normal_9	-0.4679323
SPRR1B	Normal_9	0.3393533
WDR72	Normal_9	-0.0558913
FABP4	Normal_9	2.3906683
LOC100132639	Normal_9	-0.2775343
SERPINB3	Normal_9	-0.3883553
FGF11	Normal_9	-1.3547593
KRT13	Normal_9	-1.1820218
LOC729070	Normal_9	1.3707223
TTK	Normal_9	-2.5994623
GJB2	Normal_9	-0.3057883
CLCA2	Normal_9	0.2003793
PI4KAP1	Normal_9	1.4302853
PFN2	Normal_9	-2.0649173
SFTPH	Normal_9	2.8001233
EPAS1	Normal_9	0.6617503
AGER	Normal_9	0.5518853
LOC346085	Normal_9	-2.3075733
SFN	Normal_9	-1.4779443
DSG3	Normal_9	0.007372
AQP4	Normal_9	3.1197463
KRT15	Normal_9	-0.8033933
MMP12	Normal_9	0.2053933
CTHRC1	Normal_9	-1.3510743
ADH1B	Normal_9	3.1376673
PI3	Normal_9	-0.9323613
CDH5	Normal_9	1.1063483
SPRR1A	Normal_9	0.1296133
AKR1B10	Normal_9	-2.5145733
PTPRZ1	Normal_9	-0.2968993
TENC1	Normal_9	0.5380413
MMP10	Normal_9	-0.1713683
ADH1C	Normal_9	2.5390353
COL3A1	Normal_9	-0.3883553
SCGB1A1	Normal_9	-0.8836353
FHL1	Normal_9	2.0143553
SPP1	Normal_9	-2.6348673
LAD1	Normal_9	0.4425453
CLDN18	Normal_9	1.9358373
CDCA5	Normal_9	-2.4500843
KRT16	Normal_9	-0.7612133
KRT5	Normal_9	-0.0130433
PERP	Normal_9	-0.4131153
NTS	Normal_9	-3.0954203
HPGD	Normal_9	2.1766423
MFAP4	Normal_9	1.1512093
SLC2A1	Normal_10	-2.14168563333333
NBPF14	Normal_10	-0.2810363
SPRR2C	Normal_10	-0.2863043
TSHZ2	Normal_10	0.6735563
ALDH3A1	Normal_10	-2.5426473
PEBP4	Normal_10	0.3080113
AKR1C3	Normal_10	-2.7466163
FMO2	Normal_10	2.1641433
PVRL4	Normal_10	-0.3978283
FAM75A1	Normal_10	1.3248113
C1orf187	Normal_10	-1.5691803
COL1A1	Normal_10	-1.7131193
HBE1	Normal_10	-1.3808223
TP63	Normal_10	-0.1697453
SFTPC	Normal_10	1.2172313
BBC3	Normal_10	-0.4779443
ALDH3B2	Normal_10	0.1686423
SPRR3	Normal_10	-0.3584543
S1PR1	Normal_10	1.5877258
KRT17	Normal_10	-0.8783213
ADRB1	Normal_10	0.1596293
KRT14	Normal_10	-1.7226103
SPRR2G	Normal_10	-0.2880653
LYPD3	Normal_10	-0.4363543
AKR1C2	Normal_10	-2.06036063333333
IGSF10	Normal_10	3.7120453
PVRL1	Normal_10	-1.1648843
SPRR1B	Normal_10	0.1692088
WDR72	Normal_10	-0.3183263
FABP4	Normal_10	1.2886543
LOC100132639	Normal_10	-0.2845463
SERPINB3	Normal_10	-0.3864683
FGF11	Normal_10	-1.0831413
KRT13	Normal_10	-1.2257678
LOC729070	Normal_10	1.6168283
TTK	Normal_10	-2.6170563
GJB2	Normal_10	-0.3183263
CLCA2	Normal_10	0.0799753
PI4KAP1	Normal_10	2.0086303
PFN2	Normal_10	-2.0709673
SFTPH	Normal_10	2.9619943
EPAS1	Normal_10	0.8455903
AGER	Normal_10	1.2246583
LOC346085	Normal_10	-2.2310753
SFN	Normal_10	-1.8836353
DSG3	Normal_10	-0.0784345
AQP4	Normal_10	3.2055718
KRT15	Normal_10	-0.6574453
MMP12	Normal_10	-0.0785643
CTHRC1	Normal_10	-1.9489763
ADH1B	Normal_10	3.4290803
PI3	Normal_10	-0.6303943
CDH5	Normal_10	1.3253863
SPRR1A	Normal_10	-0.1078033
AKR1B10	Normal_10	-2.5907453
PTPRZ1	Normal_10	-0.3902453
TENC1	Normal_10	1.0655723
MMP10	Normal_10	-0.1281563
ADH1C	Normal_10	2.8653253
COL3A1	Normal_10	-0.2395663
SCGB1A1	Normal_10	-0.2310753
FHL1	Normal_10	2.2812533
SPP1	Normal_10	-3.4579903
LAD1	Normal_10	0.2809563
CLDN18	Normal_10	2.3213513
CDCA5	Normal_10	-2.4659383
KRT16	Normal_10	-0.5563933
KRT5	Normal_10	-0.0543923
PERP	Normal_10	-0.3219283
NTS	Normal_10	-2.8365013
HPGD	Normal_10	1.5114683
MFAP4	Normal_10	1.8734203
SLC2A1	Normal_11	-2.06275463333333
NBPF14	Normal_11	-0.1328943
SPRR2C	Normal_11	0.2338883
TSHZ2	Normal_11	1.9593993
ALDH3A1	Normal_11	-3.1200218
PEBP4	Normal_11	1.1009783
AKR1C3	Normal_11	-2.1778823
FMO2	Normal_11	3.0969363
PVRL4	Normal_11	0.4698863
FAM75A1	Normal_11	1.8098263
C1orf187	Normal_11	-1.0145003
COL1A1	Normal_11	-0.8943223
HBE1	Normal_11	0.1492593
TP63	Normal_11	0.2821433
SFTPC	Normal_11	2.0377343
BBC3	Normal_11	-0.3714603
ALDH3B2	Normal_11	0.7484613
SPRR3	Normal_11	-0.2618813
S1PR1	Normal_11	1.5691658
KRT17	Normal_11	-0.7036893
ADRB1	Normal_11	0.4625763
KRT14	Normal_11	-1.3255393
SPRR2G	Normal_11	0.2726203
LYPD3	Normal_11	-0.6896603
AKR1C2	Normal_11	-1.8019253
IGSF10	Normal_11	3.6585543
PVRL1	Normal_11	-0.7060413
SPRR1B	Normal_11	0.3563748
WDR72	Normal_11	-0.1440103
FABP4	Normal_11	2.8198733
LOC100132639	Normal_11	-0.1811493
SERPINB3	Normal_11	-0.4016353
FGF11	Normal_11	-1.2898273
KRT13	Normal_11	-0.8068863
LOC729070	Normal_11	1.6599253
TTK	Normal_11	-2.1909973
GJB2	Normal_11	0.0510243
CLCA2	Normal_11	0.3895673
PI4KAP1	Normal_11	2.5619373
PFN2	Normal_11	-1.3400753
SFTPH	Normal_11	3.4612673
